KeyName,ByName,ByValue,ByType,Page,Description
Do you have a mortgage?                                                                   ,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Do you have a mortgage?']],click,Home insurance | MoneySuperMarket.com,
How many adults live there?                                                               ,xpath,"//div[@id=""property.propertyOccupancy.numberOfAdults""]//select",select,Home insurance | MoneySuperMarket.com,
And how many children?                                                                    ,xpath,"//div[@id=""property.propertyOccupancy.numberOfChildren""]//select",select,Home insurance | MoneySuperMarket.com,
"In general, when are there people at home?                                                ",xpath,"//label[text()='{0}'][..//..//..//..//span[text()='In general, when are there people at home?']]",click,Home insurance | MoneySuperMarket.com,
Is your home ever left empty for more than 30 days in a row?                              ,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Is your home ever left empty for more than 30 days in a row?']],click,Home insurance | MoneySuperMarket.com,
Does anyone living in your home smoke?                                                    ,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Does anyone living in your home smoke?']],click,Home insurance | MoneySuperMarket.com,
Is your place ever used for business?                                                     ,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Is your place ever used for business?']],click,Home insurance | MoneySuperMarket.com,
"Have you had any incidents at home, or made any home insurance claims in the last 5 years?",xpath,"//button[text()='{0}'][..//..//..//..//..//span[contains(.,""Have you had any incidents at home, or made any home insurance claims"")]][1]",click,Home insurance | MoneySuperMarket.com,
Have you made any home insurance claims or suffered any losses in the last 5 years,xpath,"//button[text()='{0}'][..//..//..//..//..//span[contains(.,""Have you made any home insurance claims or suffered any losses in the last 5 years"")]][1]",click,Home insurance | MoneySuperMarket.com,
part 2 continue,xpath,"//*[@id=""questionHolder""]/div[3]/div[2]/button[1]",click,Home insurance | MoneySuperMarket.com,
What's your first name?,xpath,"//input[@id=""policyHolder.name""]",input,Home insurance | MoneySuperMarket.com,
And your last name?,xpath,"//input[@id=""policyHolder.surname""]",input,Home insurance | MoneySuperMarket.com,
What's your email address?,xpath,"//input[@id=""policyHolder.email""]",input,Home insurance | MoneySuperMarket.com,
Please confirm your email address,xpath,"//input[@id=""policyHolder.confirmEmail""]",input,Home insurance | MoneySuperMarket.com,
Please choose a password,xpath,"//input[@id=""policyHolder.password""]",input,Home insurance | MoneySuperMarket.com,
Please re-enter your password,xpath,"//input[@id=""policyHolder.confirmPassword""]",input,Home insurance | MoneySuperMarket.com,
What is your gender?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='What is your gender?']],click,Home insurance | MoneySuperMarket.com,
What is your relationship status?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='What is your relationship status?']],click,Home insurance | MoneySuperMarket.com,
What do you do?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='What do you do?']],click,Home insurance | MoneySuperMarket.com,
What job do you do?,xpath,"//input[@id=""policyHolder.mainOccupation.occupationId""]",input,Home insurance | MoneySuperMarket.com,
Which industry do you work in?,xpath,"//input[@id=""policyHolder.mainOccupation.businessSectorId""]",input,Home insurance | MoneySuperMarket.com,
Do you do any other work?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Do you do any other work?']],click,Home insurance | MoneySuperMarket.com,
Have you lived in the UK since you were born?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Have you lived in the UK since you were born?']],click,Home insurance | MoneySuperMarket.com,
Would you like this to be a joint policy?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Would you like this to be a joint policy?']],click,Home insurance | MoneySuperMarket.com,
When would you like the policy to start?,xpath,"//*[@id=""policy.policyStartDate_dropdown""]//select",select,Home insurance | MoneySuperMarket.com,
How do you normally pay for your home insurance?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='How do you normally pay for your home insurance?']],click,Home insurance | MoneySuperMarket.com,
How many years of no claims discount do you have for buildings insurance?,xpath,"//*[@id=""property.propertyBuildingCover.noClaimsDiscount""]//select",select,Home insurance | MoneySuperMarket.com,
How many years of no claims discount do you have for contents insurance?,xpath,"//*[@id=""property.propertyContentsCover.noClaimsDiscount""]//select",select,Home insurance | MoneySuperMarket.com,
Would you like the two insurance companies with the best prices to contact you to discuss your quote?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Would you like the two insurance companies with the best prices to contact you to discuss your quote?']],click,Home insurance | MoneySuperMarket.com,
Would you like us to remember you on this device for 13 months?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Would you like us to remember you on this device for 13 months?']],click,Home insurance | MoneySuperMarket.com,
" In addition to receiving an automatic email reviewing my quotes, I agree to let Moneysupermarket Group contact me with money saving tips and offers by: ",xpath,,input,Home insurance | MoneySuperMarket.com,
Get Results,xpath,"//*[@id=""questionHolder""]/div[3]/div[2]/button[2]",click,Home insurance | MoneySuperMarket.com,
Insurer Name,xpath,"//li[contains(@class,""result-table__row"")][{0}]//img[@class=""result-table__provider-image""]",text,Results,
Annual Price,xpath,"//li[contains(@class,""result-table__row"")][{0}]//p[@class=""result-table__width--base-price result-table__cell--true-price-lg""]",text,Results,
Voluntary Excess Buildings,xpath,"(//li[contains(@class,""result-table__row"")][{0}]//li[@data-selector=""voluntaryExcessValue""][..//..//li])[2]",text,Results,
Voluntary Excess Contents,xpath,"(//li[contains(@class,""result-table__row"")][{0}]//li[@data-selector=""voluntaryExcessValue""][..//..//li])[3]",text,Results,
Compulsory Excess Buildings,xpath,"(//li[contains(@class,""result-table__row"")][{0}]//li[@data-selector=""compulsoryExcessValue""][..//..//li])[2]",text,Results,
Compulsory Excess Contents,xpath,"(//li[contains(@class,""result-table__row"")][{0}]//li[@data-selector=""compulsoryExcessValue""][..//..//li])[3]",text,Results,
,,,,,
,,,,,
Building Cover,xpath,"//li[contains(@class,""result-table__row"")][{0}]//span[@data-number-value=""item.quote.buildingsSumInsured""]",text,Results,
Contents Cover,xpath,"//li[contains(@class,""result-table__row"")][{0}]//p[@class=""result-table__cell-p""]//span[@data-number-value=""item.quote.contentsSumInsured""]",text,Results,
Legal Expenses,xpath,"(//li[contains(@class,""result-table__row"")][{0}]//div[@class=""add-ons-wrapper add-ons-wrapper--annually""]//span[@class=""add-ons__price""])[1]",text,Results,
Home Emergency,xpath,"(//li[contains(@class,""result-table__row"")][{0}]//div[@class=""add-ons-wrapper add-ons-wrapper--annually""]//span[@class=""add-ons__price""])[2]",text,Results,
About Insurer,xpath,"//li[contains(@class,""result-table__row"")][{0}]//li[14]/p",text,Results,
UnderWriter,xpath,"//li[contains(@class,""result-table__row"")][{0}]//li//div[@class=""result-table__width--underwriter result-table__cell--underwriter""]/p",text,Results,
Show prices: Annually,xpath,"(//button[@data-msm-interaction-id=""AnnualPrice""])[2]",click,Results,
Show prices: Monthly,xpath,"(//button[@data-msm-interaction-id=""MonthlyPrice""])[2]",click,Results,
Update Results,xpath,/html/body/div[3]/div/div[1]/div[2]/main/div/div[2]/div[4]/div/div[2]/button,click,Results,
